logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [0.000000000, 0.000000000] | Max ULP Error: 0.798848987
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.743221402
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.057439089
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.045853257
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.797835827
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.743382812
Interval [0.000000000, 0.000000001] | Max ULP Error: 0.998214304
Interval [0.000000001, 0.000000002] | Max ULP Error: 0.985588074
Interval [0.000000002, 0.000000004] | Max ULP Error: 0.790860295
Interval [0.000000004, 0.000000007] | Max ULP Error: 0.751210093
Interval [0.000000007, 0.000000015] | Max ULP Error: 1.049450397
Interval [0.000000015, 0.000000030] | Max ULP Error: 1.037864447
Interval [0.000000030, 0.000000060] | Max ULP Error: 0.789847136
Interval [0.000000060, 0.000000119] | Max ULP Error: 1.007969141
Interval [0.000000119, 0.000000238] | Max ULP Error: 1.012922764
Interval [0.000000238, 0.000000477] | Max ULP Error: 1.093945026
Interval [0.000000477, 0.000000954] | Max ULP Error: 1.084835649
Interval [0.000000954, 0.000001907] | Max ULP Error: 1.015957832
Interval [0.000001907, 0.000003815] | Max ULP Error: 1.020911455
Interval [0.000003815, 0.000007629] | Max ULP Error: 1.085956335
Interval [0.000007629, 0.000015259] | Max ULP Error: 1.076846957
Interval [0.000015259, 0.000030518] | Max ULP Error: 1.023946524
Interval [0.000030518, 0.000061035] | Max ULP Error: 1.028900146
Interval [0.000061035, 0.000122070] | Max ULP Error: 1.077967644
Interval [0.000122070, 0.000244141] | Max ULP Error: 1.068858147
Interval [0.000244141, 0.000488281] | Max ULP Error: 0.635674179
Interval [0.000488281, 0.000976562] | Max ULP Error: 0.660109639
Interval [0.000976562, 0.001953125] | Max ULP Error: 0.631874323
Interval [0.001953125, 0.003906250] | Max ULP Error: 0.652120888
Interval [0.003906250, 0.007812500] | Max ULP Error: 0.623885632
Interval [0.007812500, 0.015625000] | Max ULP Error: 0.644132197
Interval [0.015625000, 0.031250000] | Max ULP Error: 0.786869884
Interval [0.031250000, 0.062500000] | Max ULP Error: 0.778881192
Interval [0.062500000, 0.125000000] | Max ULP Error: 0.770892501
Interval [0.125000000, 0.250000000] | Max ULP Error: 1.006299734
Interval [0.250000000, 0.500000000] | Max ULP Error: 1.460873365
Interval [0.500000000, 1.000000000] | Max ULP Error: 2056.277099609
Interval [1.000000000, 2.000000000] | Max ULP Error: 1008.622985840
Interval [2.000000000, 4.000000000] | Max ULP Error: 1.468481660
Interval [4.000000000, 8.000000000] | Max ULP Error: 1.019806027
Interval [8.000000000, 16.000000000] | Max ULP Error: 0.768699765
Interval [16.000000000, 32.000000000] | Max ULP Error: 0.776688457
Interval [32.000000000, 64.000000000] | Max ULP Error: 0.782253265
Interval [64.000000000, 128.000000000] | Max ULP Error: 0.659112751
Interval [128.000000000, 256.000000000] | Max ULP Error: 0.646287918
Interval [256.000000000, 512.000000000] | Max ULP Error: 0.667101443
Interval [512.000000000, 1024.000000000] | Max ULP Error: 0.654276609
Interval [1024.000000000, 2048.000000000] | Max ULP Error: 0.675090134
Interval [2048.000000000, 4096.000000000] | Max ULP Error: 0.656767964
Interval [4096.000000000, 8192.000000000] | Max ULP Error: 1.079867482
Interval [8192.000000000, 16384.000000000] | Max ULP Error: 1.084820986
Interval [16384.000000000, 32768.000000000] | Max ULP Error: 1.022046685
Interval [32768.000000000, 65536.000000000] | Max ULP Error: 1.012937307
Interval [65536.000000000, 131072.000000000] | Max ULP Error: 1.087856174
Interval [131072.000000000, 262144.000000000] | Max ULP Error: 1.092809796
Interval [262144.000000000, 524288.000000000] | Max ULP Error: 1.014057994
Interval [524288.000000000, 1048576.000000000] | Max ULP Error: 1.004948616
Interval [1048576.000000000, 2097152.000000000] | Max ULP Error: 1.095844865
Interval [2097152.000000000, 4194304.000000000] | Max ULP Error: 1.100798488
Interval [4194304.000000000, 8388608.000000000] | Max ULP Error: 1.006069303
Interval [8388608.000000000, 16777216.000000000] | Max ULP Error: 0.966889262
Interval [16777216.000000000, 33554432.000000000] | Max ULP Error: 0.799303651
Interval [33554432.000000000, 67108864.000000000] | Max ULP Error: 1.054135203
Interval [67108864.000000000, 134217728.000000000] | Max ULP Error: 1.041508913
Interval [134217728.000000000, 268435456.000000000] | Max ULP Error: 0.734939396
Interval [268435456.000000000, 536870912.000000000] | Max ULP Error: 0.807130992
Interval [536870912.000000000, 1073741824.000000000] | Max ULP Error: 0.993529499
Interval [1073741824.000000000, 2147483648.000000000] | Max ULP Error: 0.981943607
Interval [2147483648.000000000, 4294967296.000000000] | Max ULP Error: 0.733926237
Interval [4294967296.000000000, 8589934592.000000000] | Max ULP Error: 0.807292402
Interval [8589934592.000000000, 17179869184.000000000] | Max ULP Error: 1.062123895
Interval [17179869184.000000000, 34359738368.000000000] | Max ULP Error: 1.049497724
Interval [34359738368.000000000, 68719476736.000000000] | Max ULP Error: 0.726950645
Interval [68719476736.000000000, 137438953472.000000000] | Max ULP Error: 0.815119684
Interval [137438953472.000000000, 274877906944.000000000] | Max ULP Error: 0.985540807
Interval [274877906944.000000000, 549755813888.000000000] | Max ULP Error: 0.973954916
Interval [549755813888.000000000, 1099511627776.000000000] | Max ULP Error: 0.725937545
Interval [1099511627776.000000000, 2199023255552.000000000] | Max ULP Error: 0.815281093
Interval [2199023255552.000000000, 4398046511104.000000000] | Max ULP Error: 1.070112586
Interval [4398046511104.000000000, 8796093022208.000000000] | Max ULP Error: 1.057486415
Interval [8796093022208.000000000, 17592186044416.000000000] | Max ULP Error: 0.718961954
Interval [17592186044416.000000000, 35184372088832.000000000] | Max ULP Error: 0.823108375
Interval [35184372088832.000000000, 70368744177664.000000000] | Max ULP Error: 0.977552056
Interval [70368744177664.000000000, 140737488355328.000000000] | Max ULP Error: 0.963897169
Interval [140737488355328.000000000, 281474976710656.000000000] | Max ULP Error: 0.904832304
Interval [281474976710656.000000000, 562949953421312.000000000] | Max ULP Error: 0.863595247
Interval [562949953421312.000000000, 1125899906842624.000000000] | Max ULP Error: 0.857658029
Interval [1125899906842624.000000000, 2251799813685248.000000000] | Max ULP Error: 0.783565521
Interval [2251799813685248.000000000, 4503599627370496.000000000] | Max ULP Error: 1.040658593
Interval [4503599627370496.000000000, 9007199254740992.000000000] | Max ULP Error: 1.032328725
Interval [9007199254740992.000000000, 18014398509481984.000000000] | Max ULP Error: 0.736098766
Interval [18014398509481984.000000000, 36028797018963968.000000000] | Max ULP Error: 0.916422546
Interval [36028797018963968.000000000, 72057594037927936.000000000] | Max ULP Error: 0.911062002
Interval [72057594037927936.000000000, 144115188075855872.000000000] | Max ULP Error: 0.857369184
Interval [144115188075855872.000000000, 288230376151711744.000000000] | Max ULP Error: 0.856269598
Interval [288230376151711744.000000000, 576460752303423488.000000000] | Max ULP Error: 0.785324514
Interval [576460752303423488.000000000, 1152921504606846976.000000000] | Max ULP Error: 0.983102977
Interval [1152921504606846976.000000000, 2305843009213693952.000000000] | Max ULP Error: 0.977165818
Interval [2305843009213693952.000000000, 4611686018427387904.000000000] | Max ULP Error: 0.729872704
Interval [4611686018427387904.000000000, 9223372036854775808.000000000] | Max ULP Error: 0.921150804
Interval [9223372036854775808.000000000, 18446744073709551616.000000000] | Max ULP Error: 0.912820995
Interval [18446744073709551616.000000000, 36893488147419103232.000000000] | Max ULP Error: 0.855606496
Interval [36893488147419103232.000000000, 73786976294838206464.000000000] | Max ULP Error: 0.849669337
Interval [73786976294838206464.000000000, 147573952589676412928.000000000] | Max ULP Error: 0.791554213
Interval [147573952589676412928.000000000, 295147905179352825856.000000000] | Max ULP Error: 1.048647285
